,From,To,Counts,Log2FC,Pvalue,Percentage
576,HF-ORSB,HF-ORSB,3591,5.477963800918236,0.0,0.4363304981773998
577,HF-ORSB,HF-TAC,7,-0.25058955343177003,0.7265058151895645,0.000850546780072904
578,HF-ORSB,MELAN,4,-0.9839438940455976,0.9558574103029711,0.0004860267314702309
579,HF-ORSB,Mast,10,-2.221443207772254,0.9999999999845908,0.001215066828675577
580,HF-ORSB,Mural,149,-2.6464528712923556,1.0,0.018104495747266098
581,HF-ORSB,SCH,0,-inf,1.0,0.0
582,HF-ORSB,Spi-I,532,0.5803293732230383,0.0,0.0646415552855407
583,HF-ORSB,Spi-mig,219,0.7078538008845443,5.352496224020342e-12,0.02660996354799514
584,HF-ORSB,Sweat Gland,16,-0.7694393821394623,0.9925632778612954,0.0019441069258809235
585,HF-ORSB,actiFB,110,-2.736835860908561,1.0,0.013365735115431349
586,HF-ORSB,cDC,3,-2.5773186345829533,0.9999972574975348,0.00036452004860267317
587,HF-ORSB,cMono,9,-1.6850324518832072,0.9999959751949496,0.0010935601458080195
588,HF-ORSB,inflamFB,192,-2.0986908178326833,1.0,0.023329283110571083
589,HF-ORSB,lipidMacr,6,-2.9712328422960437,0.9999999999999942,0.0007290400972053463
590,HF-ORSB,myoFB,0,-inf,1.0,0.0
591,HF-ORSB,pDC,7,-1.1381148241733574,0.9943290571297613,0.000850546780072904
592,HF-ORSB,papiFB,247,-0.857770093494157,1.0,0.030012150668286757
593,HF-ORSB,retiFB,867,-1.7622957054008608,1.0,0.10534629404617255
594,HF-ORSB,trMacr,115,-2.0396383203645247,1.0,0.013973268529769137
595,HF-TAC,AntiInfMacr,3,-1.003444775625835,0.9394123001564221,0.0036719706242350062
596,HF-TAC,Bas-I,9,2.1664802258164775,0.0002326000605048506,0.011015911872705019
597,HF-TAC,Bas-II,12,1.0266124582303449,0.01730150323471924,0.014687882496940025
598,HF-TAC,Bas-inflamed,6,0.8960283484202005,0.10767119041274276,0.0073439412484700125
599,HF-TAC,Bas-mig,4,0.4165589765463581,0.3520572886593759,0.004895960832313341
600,HF-TAC,Bas-prolif,18,0.21757115954485404,0.29165966490977246,0.022031823745410038
601,HF-TAC,CD4_T,5,0.8849731599112047,0.13778767013244653,0.006119951040391677
602,HF-TAC,CD8_T,11,2.455986843011462,7.96404335079437e-06,0.01346389228886169
603,HF-TAC,DS,1,-0.4696211238964798,0.7500856270108857,0.0012239902080783353
604,HF-TAC,EC,52,0.11886545583756288,0.28985359808586875,0.06364749082007344
605,HF-TAC,FB_APOD,3,0.823878562664365,0.24126940223256144,0.0036719706242350062
606,HF-TAC,Gra-I,10,0.30001065919004866,0.29807000414064255,0.012239902080783354
607,HF-TAC,HF-CL,0,-inf,1.0,0.0
608,HF-TAC,HF-HS,5,2.217956443307563,0.004874039690569432,0.006119951040391677
609,HF-TAC,HF-IRS,3,1.0939677260321092,0.16761320230069243,0.0036719706242350062
610,HF-TAC,HF-Matrix,32,2.945416375382364,0.0,0.03916768665850673
611,HF-TAC,HF-ORSB,4,-0.9997216895831179,0.9583494173573281,0.004895960832313341
612,HF-TAC,HF-TAC,5,2.596468066561293,0.0015998688142686568,0.006119951040391677
613,HF-TAC,MELAN,1,0.34854055311770693,0.5444099563370062,0.0012239902080783353
614,HF-TAC,Mast,8,0.7891131445036883,0.09694047673385664,0.009791921664626682
615,HF-TAC,Mural,35,-1.4038539276462463,0.9999999999997768,0.042839657282741736
616,HF-TAC,SCH,0,-inf,1.0,0.0
617,HF-TAC,Spi-I,55,0.6388910984098128,0.0009990262205550327,0.06731946144430845
618,HF-TAC,Spi-mig,4,-1.7344488115533248,0.9992348095636427,0.004895960832313341
619,HF-TAC,Sweat Gland,5,0.8849731599112047,0.13778767013244653,0.006119951040391677
620,HF-TAC,actiFB,28,-1.378356205212312,0.9999999998383942,0.03427172582619339
621,HF-TAC,cDC,4,1.1702033118591946,0.1047992866694879,0.004895960832313341
622,HF-TAC,cMono,5,0.7994550887251475,0.16342737463164825,0.006119951040391677
623,HF-TAC,inflamFB,121,0.5676943658840596,9.217856119625445e-06,0.1481028151774786
624,HF-TAC,lipidMacr,0,-inf,1.0,0.0
625,HF-TAC,myoFB,0,-inf,1.0,0.0
626,HF-TAC,pDC,5,1.7089427958197052,0.01981774386485502,0.006119951040391677
627,HF-TAC,papiFB,93,1.0655059331925014,2.91876522950929e-11,0.11383108935128519
628,HF-TAC,retiFB,223,-0.3887995415390866,0.9999998884602261,0.2729498164014688
629,HF-TAC,trMacr,47,0.001944927532041942,0.5173646872405945,0.05752753977968176
630,MELAN,AntiInfMacr,13,1.2144720664362387,0.004965577532525911,0.017082785808147174
631,MELAN,Bas-I,5,1.4209229439036652,0.04119348562636871,0.006570302233902759
632,MELAN,Bas-II,5,-0.13398232296131113,0.641342175567595,0.006570302233902759
633,MELAN,Bas-inflamed,1,-1.5864945276588176,0.9507368557794403,0.001314060446780552
